# Pin rows contain Pin number and pin name.
# Pin rows start with PIN_
# If the pin name is omitted, the pin number is added as name.
# Empty lines and lines not starting with PIN_ are ignored

D0,PA08
D1,PA02
D2,PA09
D3,PA07
D4,PA06
DOTSTAR_DATA,PA00
DOTSTAR_CLK,PA01

LED,PA10

USB_DM,PA24
USB_DP,PA25

SWCLK,PA30
SWDIO,PA31
